Date,avg_Temperature
2023-05-03,14.851901
2023-05-04,17.815243
2023-05-05,18.889357
2023-05-06,19.589727
2023-05-07,18.441864
2023-05-08,15.316746
2023-05-09,17.92224
2023-05-10,19.9595
2023-05-11,19.732
2023-05-12,20.943066
2023-05-13,19.454954
2023-05-14,15.771813
2023-05-15,16.240149
2023-05-16,17.31901
2023-05-17,19.98924
2023-05-18,19.990253
2023-05-19,19.916142
2023-05-20,20.613045
2023-05-21,20.116638
2023-05-22,20.325266
2023-05-23,22.904404
2023-05-24,22.861557
2023-05-25,20.996214
2023-05-26,18.730787
2023-05-27,20.004564
2023-05-28,22.289394
2023-05-29,23.100025
2023-05-30,20.800037
2023-05-31,20.717924
2023-06-01,22.111917
2023-06-02,21.504036
2023-06-03,24.357748
2023-06-04,25.559319
2023-06-05,22.652596
2023-06-06,19.725378
2023-06-07,20.565865
2023-06-08,21.173763
2023-06-09,20.903084
2023-06-10,20.91547
2023-06-11,24.326326
2023-06-12,24.5038
2023-06-13,23.584488
2023-06-14,21.503668
2023-06-15,17.603823
2023-06-16,20.245735
2023-06-17,22.555088
2023-06-18,23.357973
2023-06-19,23.470533
2023-06-20,25.170399
2023-06-21,26.473932
2023-06-22,25.866858
2023-06-23,24.315449
2023-06-24,22.608984
2023-06-25,25.736273
2023-06-26,26.471792
2023-06-27,26.785372
2023-06-28,26.891348
2023-06-29,25.113605
2023-06-30,22.349419
2023-07-01,26.060072
2023-07-02,28.289225
2023-07-03,28.975496
2023-07-04,29.117092
2023-07-05,29.091688
2023-07-06,29.181726
2023-07-07,28.368502
2023-07-08,25.868572
2023-07-09,26.845013
2023-07-10,28.557283
2023-07-11,26.958494
2023-07-12,26.748144
2023-07-13,25.019289
2023-07-14,25.687048
2023-07-15,25.972183
2023-07-16,24.806223
2023-07-17,25.500677
2023-07-18,26.770353
2023-07-19,27.3968
2023-07-20,27.06107
2023-07-21,23.21296
2023-07-22,25.067974
2023-07-23,24.745258
2023-07-24,25.001858
2023-07-25,27.258347
2023-07-26,28.550928
2023-07-27,28.987541
2023-07-28,29.209751
2023-07-29,29.438105
2023-07-30,29.533054
2023-07-31,27.556026
2023-08-01,28.449368
2023-08-02,26.775875
2023-08-03,27.084291
2023-08-04,28.50987
2023-08-05,29.01673
2023-08-06,28.76214
2023-08-07,28.812529
2023-08-08,26.795593
2023-08-09,25.129185
2023-08-10,24.692808
2023-08-11,24.988438
2023-08-12,26.88538
2023-08-13,25.714672
2023-08-14,27.432938
2023-08-15,28.074469
2023-08-16,26.61446
2023-08-17,25.946512
2023-08-18,25.567804
2023-08-19,25.958437
2023-08-20,27.87161
2023-08-21,28.104721
2023-08-22,26.704008
2023-08-23,25.374805
2023-08-24,24.772135
2023-08-25,22.298294
2023-08-26,23.833082
2023-08-27,21.53285
2023-08-28,22.638483
2023-08-29,21.018364
2023-08-30,19.210186
2023-08-31,21.707037
2023-09-01,23.987467
2023-09-02,24.683956
2023-09-03,24.23469
2023-09-04,22.3108
2023-09-05,19.283432
2023-09-06,21.008312
2023-09-07,22.816404
2023-09-08,23.232136
2023-09-09,24.301868
2023-09-10,23.632427
2023-09-11,23.346617
2023-09-12,23.83275
2023-09-13,24.31922
2023-09-14,24.616486
2023-09-15,25.197897
2023-09-16,25.681376
2023-09-17,25.589336
2023-09-18,27.031435
2023-09-19,24.581724
2023-09-20,20.090393
2023-09-21,19.368011
2023-09-22,19.758371
2023-09-23,17.614481
2023-09-24,18.57995
2023-09-25,19.652271
2023-09-26,20.043207
2023-09-27,20.926817
2023-09-28,20.421997
2023-09-29,20.4335
2023-09-30,20.718195
2023-10-01,20.911901
2023-10-02,19.452091
2023-10-03,21.42658
2023-10-04,17.942554
2023-10-05,16.61685
2023-10-06,15.832067
2023-10-07,14.3755455
2023-10-08,15.869646
2023-10-09,13.142194
2023-10-10,10.005269
2023-10-11,11.176383
2023-10-12,13.484151
2023-10-13,16.314611
2023-10-14,17.117537
2023-10-15,18.19955
2023-10-16,16.953205
2023-10-17,11.217738
2023-10-18,9.477228
2023-10-19,10.542054
2023-10-20,12.860389
2023-10-21,14.001707
2023-10-22,15.1341
2023-10-23,14.027119
2023-10-24,10.581535
2023-10-25,11.349309
2023-10-26,12.90729
2023-10-27,13.222492
2023-10-28,13.630676
2023-10-29,14.8365345
2023-10-30,14.942648
2023-10-31,14.94645
2023-11-01,13.120996
2023-11-02,11.135845
2023-11-03,9.35123
2023-11-04,4.970335
2023-11-05,6.490445
2023-11-06,9.544105
2023-11-07,11.33977
2023-11-08,12.854272
2023-11-09,11.395885
2023-11-10,13.477636
2023-11-11,15.616176
2023-11-12,16.335999
2023-11-13,10.343742
2023-11-14,9.762607
2023-11-15,8.102923
2023-11-16,8.500686
2023-11-17,10.182903
2023-11-18,11.008626
2023-11-19,12.881015
2023-11-20,13.694636
2023-11-21,11.791505
2023-11-22,10.70139
2023-11-23,10.8284855
2023-11-24,9.429035
2023-11-25,12.296056
2023-11-26,6.6976514
2023-11-27,5.355613
2023-11-28,12.108566
2023-11-29,6.7972407
2023-11-30,-5.29546
2023-12-01,-5.2034283
2023-12-02,-2.4623938
2023-12-03,2.0316613
2023-12-04,-3.52665
2023-12-05,-3.0589788
2023-12-06,0.9023923
2023-12-07,4.890582
2023-12-08,3.7138693
2023-12-09,4.499559
2023-12-10,2.6496446
2023-12-11,1.6230199
2023-12-12,2.004963
2023-12-13,-0.007691473
2023-12-14,-8.113565
2023-12-15,-4.4991345
2023-12-16,-6.511323
2023-12-17,-7.106152
2023-12-18,-9.511348
2023-12-19,-7.0671964
2023-12-20,-3.250563
2023-12-21,-0.12351823
2023-12-22,-7.704473
2023-12-23,-11.7493
2023-12-24,-8.489315
